指标,2019-03-01to2019-03-31
日均客流-人次/天
,25489.483870967742
平日日均客流-人次/天
,19386.125
周末日均客流-人次/天
,31998.666666666668
游逛深度-个/人次
,3.0835448901128104
月均客流密度-人次/月/㎡
,155.06102688172044
日均车流-车次/天
,1302.3548387096773
平日日均车流-车次/天
,961.875
周末日均车流-车次/天
,1665.5333333333333
车场使用频率-次
,4.341182795698924
停车场N入口日均车流-车次/天
,混进口,154.8709677419355
,入口,801.9677419354839
,双入口右,328.5806451612903
,双入口左,16.93548387096774
主力店N日均-人次/天
,UNIQLO,1103.225806451613
,劲浪体育,826.7096774193549
,万达宝贝王早教中心,604.1290322580645
,万达影城,2206.6774193548385
,大玩家,2842.7096774193546
,言几又,698.0
,苏宁,2078.7419354838707
,MJSTYLE,367.2258064516129
,红孩子,1648.0645161290322
,永辉,6038.4838709677415
,匠道健身,665.4193548387096
,万达宝贝王,2076.7419354838707
,funlink+westlink集合店,298.51612903225805
,CAGO LIFE,355.3225806451613
主力店N客流密度-人/时段/平米
,UNIQLO,342.0
,劲浪体育,256.28
,万达宝贝王早教中心,187.28
,万达影城,684.07
,大玩家,881.24
,言几又,216.38
,苏宁,644.41
,MJSTYLE,113.84
,红孩子,510.9
,永辉,1871.93
,匠道健身,206.28
,万达宝贝王,643.79
,funlink+westlink集合店,92.54
,CAGO LIFE,110.15
店铺日均-人次/天
,361°kids,151.96774193548387
,3E.life,156.93548387096774
,4cm,105.12903225806451
,ABLE JEANS,71.64516129032258
,adidas originals,114.7741935483871
,AFU,140.51612903225808
,ALDOLA,67.54838709677419
,ALL SELF,106.35483870967742
,ANTA,179.6451612903226
,ANTA KIDS,226.70967741935485
,Apple,122.51612903225806
,ARIOSE&YEARS,125.58064516129032
,balabala,352.1290322580645
,C+,0.0
,cabbeen,171.09677419354838
,Calvin Klein Jeans,137.0
,Chic Passion,159.0
,CISSTEG,176.29032258064515
,CK PERFORMANCE,100.35483870967742
,CK Underwear,70.87096774193549
,coco都可,442.0967741935484
,COSMO  LADY,234.90322580645162
,CRD,239.4516129032258
,DBE,141.83870967741936
,Diosa chocolate,111.19354838709677
,DUOZOULUMINI,218.80645161290323
,ELLEBABY,nan
,FILA,200.51612903225808
,FILA FUSION,131.5483870967742
,find钢琴智慧教室,125.61290322580645
,FUN寿司,189.03225806451613
,GLORIA,191.3548387096774
,GUESS,156.19354838709677
,GXG,178.09677419354838
,G大调,123.41935483870968
,hely,95.09677419354838
,HOZZS,86.06451612903226
,I DO,238.06451612903226
,imi's,138.06451612903226
,Inshop,211.8709677419355
,INWARD,168.48387096774192
,IRA,243.03225806451613
,J.LINDEBERG,100.12903225806451
,Jack&Jones,172.5483870967742
,JJLKIDS,219.70967741935485
,KAMA,144.1290322580645
,KFC,390.3225806451613
,KOI Thé,315.64516129032256
,LAXDN,203.38709677419354
,LILY,158.38709677419354
,LOVE&LOVE,71.87096774193549
,MACMIOCO,113.83870967741936
,Mini Peace,129.1290322580645
,most,161.96774193548387
,Nike Kicks Lounge,324.741935483871
,NOME,663.3548387096774
,Nr,237.74193548387098
,OIT,122.6774193548387
,Only,178.16129032258064
,Park dance,71.25806451612904
,Peace bird(F),156.8709677419355
,PINK SHOP,89.58064516129032
,PM潮汐,nan
,POLO SPORT,171.7741935483871
,POLO SPORT KIDS,180.29032258064515
,PQVISION,64.16129032258064
,PRO.LIND,109.29032258064517
,Raidy Boer,118.3225806451613
,royaleat皇茶,50.516129032258064
,S.DEER,101.19354838709677
,SANI撒尼,141.4516129032258
,SELECTED,274.4516129032258
,SEVEN CRASH,59.935483870967744
,SHINE,93.51612903225806
,SHOP1972,138.70967741935485
,tatakids,328.16129032258067
,Tiyookid,251.41935483870967
,TO YOUNG,408.0967741935484
,TOMMY JEANS,133.7741935483871
,VeDA,nan
,VERO MODA,275.7096774193548
,vivo,106.29032258064517
,YRC,229.93548387096774
,阿吉豆,143.29032258064515
,阿香米线,155.0
,艾力斯特,106.41935483870968
,艾美家,269.48387096774195
,爱居兔,187.48387096774192
,爱咪欧,89.2258064516129
,爱慕,81.2258064516129
,爱西西,300.3225806451613
,安菲娅糖果铺,152.06451612903226
,傲娇的小花椒,nan
,奥康,139.32258064516128
,八方渔蛋,347.16129032258067
,白禾,nan
,半身缘,310.8709677419355
,宝岛眼镜,102.06451612903226
,宝妈时光,294.3225806451613
,贝客新语,252.38709677419354
,贝优奇婴儿游泳馆,388.06451612903226
,犇牛记,463.8709677419355
,比音勒芬,92.12903225806451
,必胜客,346.80645161290323
,波司登,185.4516129032258
,不二酸菜鱼,nan
,城市宝宝,337.258064516129
,仇婆抄手,218.8709677419355
,厨人艺料·冷锅串串+火锅米线,115.6774193548387
,大通冰室,nan
,大鱼艺术,337.7096774193548
,弹个车,64.41935483870968
,德香苑,622.3225806451613
,笛莎,207.96774193548387
,多喜爱,nan
,朵拉格格,353.2258064516129
,鄂尔多斯,77.03225806451613
,樊文花,281.48387096774195
,梵妳卡波,134.93548387096774
,飞亚达,131.74193548387098
,盖世红颜,121.6774193548387
,歌瑞尔,121.29032258064517
,古今书汉,206.70967741935485
,龟与熊猫,1956.032258064516
,桂牧庄,747.741935483871
,海澜jeans,193.32258064516128
,海澜之家,212.90322580645162
,海鲜大咖,nan
,韩悦,476.8709677419355
,汉邦剪裁,79.19354838709677
,禾乐欧贝比,275.2258064516129
,禾雀,174.96774193548387
,黑露珠宝,62.41935483870968
,红豆男装,132.48387096774192
,红馆,250.09677419354838
,华伦天奴·奥兰迪,171.70967741935485
,华硕,155.61290322580646
